Units,Maneuvers,Probability,Fill,Avg time,Min Time,Max Time,Solution type,Avg solution,Avg iterations,Avg nodes,Avg cuts Clique,Avg cuts Cover,Avg cuts Disjunctive,Avg cuts Flow cover,Avg cuts Gomory,Avg cuts GUB,Avg cuts zero-half,Avg cuts lift and projects,Total avg cuts
10.0,3.0,0.5999999999999999,0.09999999999999999,0.008197474479675292,0.006000518798828125,0.013000726699829102,integer optimal solution,2.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.6,0.2,0.005499839782714844,0.0049991607666015625,0.0060007572174072266,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.6,0.19999999999999998,0.006334424018859863,0.004999399185180664,0.010000944137573242,integer optimal solution,1.8333333333333333,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.5999999999999999,0.29999999999999993,0.007900071144104005,0.006999969482421875,0.010000228881835938,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.5999999999999999,0.39999999999999997,0.006999683380126953,0.005997657775878906,0.011000871658325195,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.5999999999999999,0.5,0.006100749969482422,0.005996227264404297,0.006999969482421875,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.5999999999999999,0.5999999999999999,0.007899093627929687,0.005995273590087891,0.01099705696105957,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.5999999999999999,0.7000000000000001,0.009899544715881347,0.007997989654541016,0.01399993896484375,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.5999999999999999,0.7999999999999999,0.009995651245117188,0.007966041564941406,0.011998891830444336,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.5999999999999999,0.9000000000000001,0.007703566551208496,0.00699925422668457,0.009000062942504883,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,0.7999999999999999,0.09999999999999999,0.009099078178405762,0.005997657775878906,0.013997554779052734,integer optimal solution,2.5,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
